CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore
7000000,4409,22,4,Agent,Salaried,Graduate,Female,3,Manager,2,Single,20993,1,2,806761,North,Half Yearly,5,2
7000001,2214,11,2,Third Party Partner,Salaried,Graduate,Male,4,Manager,4,Divorced,20130,0,3,294502,North,Yearly,7,3
7000002,4273,26,4,Agent,Free Lancer,Post Graduate,Male,4,Exe,3,Unmarried,17090,1,2,,North,Yearly,0,3
7000003,1791,11,,Third Party Partner,Salaried,Graduate,Fe male,3,Executive,3,Divorced,17909,1,2,268635,West,Half Yearly,0,5
7000004,2955,6,,Agent,Small Business,UG,Male,3,Executive,4,Divorced,18468,0,4,366405,West,Half Yearly,2,5
7000005,3252,7,,Third Party Partner,Salaried,Graduate,Male,3,Executive,2,Single,18068,0,2,487836,North,Half Yearly,6,5
7000006,3850,12,23,Agent,Salaried,Graduate,Male,4,VP,3,Divorced,34999,0,2,392689,North,Yearly,9,2
7000007,2073,6,4,Agent,Small Business,Under Graduate,Female,3,Executive,4,Unmarried,17279,0,2,369079,West,Half Yearly,3,3
7000008,2719,8,11,Agent,Salaried,Graduate,Male,4,Manager,3,Divorced,20916,1,1,405143,West,Yearly,1,4
7000009,3247,6,3,Online,Small Business,Under Graduate,Male,2,Exe,2,Married,17089,0,1,,West,Quarterly,2,4
7000010,6676,20,7,Online,Small Business,Under Graduate,Male,4,AVP,2,Divorced,,0,3,1048182,North,Yearly,8,4
7000011,4455,18,27,Agent,Salaried,Graduate,Male,2,Executive,5,Divorced,18564,1,5,654938,North,Quarterly,7,3
7000012,3497,10,7,Third Party Partner,Small Business,UG,Fe male,3,Manager,4,Single,19425,0,1,447552,West,Half Yearly,2,2
7000013,3648,22,22,Online,Small Business,Under Graduate,Female,3,Manager,3,Married,20265,0,1,383009,West,Half Yearly,2,2
7000014,4311,26,17,Agent,Salaried,Graduate,Male,3,Manager,3,Divorced,21553,0,1,732802,West,Half Yearly,0,2
7000015,3402,7,3,Agent,Laarge Business,Engineer,Male,3,Manager,2,Divorced,21261,0,5,547683,West,Half Yearly,7,2
