CustID,AgentBonus,Age,CustTenure,ExistingProdType,NumberOfPolicy,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,PaymentMethod,LastMonthCalls,CustCareScore,Agent,Online,Third Party Partner,Free Lancer,Large Business,Salaried,Small Business,Diploma,Engineer,Graduate,MBA,Post Graduate,UG,Under Graduate,Female,Male,AVP,Exe,Executive,Manager,Senior Manager,VP,Divorced,Married,Single,Unmarried,East,North,South,West
7000000,4409,22.0,4.0,3,2.0,20993.0,1,2.0,806761.0,3,5,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
7000001,2214,11.0,2.0,4,4.0,20130.0,0,3.0,294502.0,4,7,3.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000002,4273,26.0,4.0,4,3.0,17090.0,1,2.0,619999.6992670636,4,0,3.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
7000003,1791,11.0,14.469026548672566,3,3.0,17909.0,1,2.0,268635.0,3,0,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000004,2955,6.0,14.469026548672566,3,4.0,18468.0,0,4.0,366405.0,3,2,5.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000005,3252,7.0,14.469026548672566,3,2.0,18068.0,0,2.0,487836.0,3,6,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000006,3850,12.0,23.0,4,3.0,34999.0,0,2.0,392689.0,4,9,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7000007,2073,6.0,4.0,3,4.0,17279.0,0,2.0,369079.0,3,3,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
7000008,2719,8.0,11.0,4,3.0,20916.0,1,1.0,405143.0,4,1,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000009,3247,6.0,3.0,2,2.0,17089.0,0,1.0,619999.6992670636,2,2,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
7000010,6676,20.0,7.0,4,2.0,22890.30999066293,0,3.0,1048182.0,4,8,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7000011,4455,18.0,27.0,2,5.0,18564.0,1,5.0,654938.0,2,7,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7000012,3497,10.0,7.0,3,4.0,19425.0,0,1.0,447552.0,3,2,2.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000013,3648,22.0,22.0,3,3.0,20265.0,0,1.0,383009.0,3,2,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000014,4311,26.0,17.0,3,3.0,21553.0,0,1.0,732802.0,3,0,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000015,3402,7.0,3.0,3,2.0,21261.0,0,5.0,547683.0,3,7,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000016,1930,12.0,4.0,4,5.0,19298.0,0,2.0,245085.0,4,0,3.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000017,2180,9.0,11.0,3,2.0,21804.0,1,1.0,287813.0,3,7,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
7000018,2258,5.0,5.0,3,3.0,18815.0,1,1.0,392857.0,3,0,3.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000019,4258,14.494707127734651,21.0,3,2.0,17741.0,1,3.0,847310.0,3,7,2.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000020,3034,12.0,18.0,3,5.0,21673.0,1,1.0,324662.0,3,0,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000021,4981,5.0,25.0,3,2.0,22639.0,0,1.0,826776.0,3,9,3.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000022,3466,14.494707127734651,3.0,2,4.0,17328.0,1,1.0,374285.0,2,2,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000023,3431,7.0,14.0,3,2.0,17153.0,0,2.0,619999.6992670636,3,7,3.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
7000024,4969,30.0,25.0,4,2.0,19876.0,0,4.0,954048.0,4,2,5.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000025,3903,20.0,8.0,3,5.0,24396.0,0,5.0,640151.0,3,3,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
7000026,3556,14.0,21.0,5,2.0,25400.0,0,4.0,540512.0,4,8,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000027,3756,8.0,15.0,4,3.0,23474.0,0,6.0,386852.0,4,8,5.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
7000028,2998,12.0,3.0,3,3.0,24981.0,0,1.0,599544.0,3,7,2.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000029,5223,26.0,31.0,4,4.0,27490.0,0,2.0,851365.0,4,7,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000030,4414,14.494707127734651,9.0,3,5.0,17657.0,1,4.0,560610.0,3,4,4.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
7000031,6576,7.0,26.0,3,2.0,28591.0,1,16.0,749656.0,3,0,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
7000032,4122,16.0,16.0,4,5.0,21696.0,0,2.0,783226.0,4,1,2.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000033,2729,8.0,5.0,3,3.0,17058.0,0,2.0,619999.6992670636,3,5,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
7000034,2625,13.0,8.0,4,2.0,23865.0,0,2.0,393773.0,4,8,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
7000035,5235,5.0,10.0,3,5.0,20940.0,0,13.0,738135.0,3,5,4.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000036,2928,18.0,6.0,3,4.0,20914.0,0,4.0,494825.0,3,7,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
7000037,2291,14.494707127734651,2.0,4,4.0,17622.0,0,2.0,341338.0,4,1,4.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000038,6524,7.0,20.0,3,2.0,27185.0,1,13.0,1246160.0,3,7,3.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
7000039,5122,5.0,26.0,3,3.0,25609.0,0,2.0,793879.0,3,13,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
7000040,2708,16.0,14.0,5,3.0,19345.0,0,1.0,365621.0,4,4,3.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
