CustID,AgentBonus,Age,CustTenure,ExistingProdType,NumberOfPolicy,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,PaymentMethod,LastMonthCalls,CustCareScore,Agent,Online,Third Party Partner,Free Lancer,Large Business,Salaried,Small Business,Diploma,Engineer,Graduate,MBA,Post Graduate,UG,Under Graduate,Female,Male,AVP,Exe,Executive,Manager,Senior Manager,VP,Divorced,Married,Single,Unmarried,East,North,South,West
7003779,5696,17.0,28.0,4,2.0,37974.0,0,7.0,1099347.0,3,7,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
7000978,3290,16.0,3.0,4,5.0,25306.0,0,2.0,638217.0,4,0,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
7000251,4578,5.0,23.0,3,3.0,28610.0,1,2.0,856011.0,3,7,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7002154,3275,16.0,14.469026548672566,4,5.0,18196.0,0,1.0,419236.0,4,3,3.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
7004100,3538,21.0,18.0,5,6.0,25268.0,0,2.0,502328.0,4,8,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7004444,7639,31.0,23.0,6,2.0,38197.0,0,14.0,1176468.0,4,8,5.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
7002411,4665,19.0,9.0,6,3.0,25914.0,1,3.0,517762.0,4,3,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7003612,4243,25.0,21.0,5,5.0,24956.0,0,1.0,428495.0,4,4,4.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
7004481,4687,19.0,5.0,2,2.0,24666.0,0,3.0,492087.0,3,9,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7003499,5021,25.0,15.0,4,4.0,21832.0,0,2.0,989208.0,3,3,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7002183,4438,27.0,18.0,4,1.0,20171.0,0,2.0,727770.0,4,5,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000325,4545,23.0,9.0,3,2.0,22725.0,0,5.0,577215.0,3,7,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
7001717,2629,8.0,8.0,3,3.0,18780.0,0,2.0,446964.0,3,0,1.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7002922,2873,14.0,11.0,5,5.0,28731.0,0,1.0,316041.0,4,5,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
7003135,4589,28.0,28.0,4,4.0,20861.0,0,1.0,633340.0,3,1,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7000803,3327,7.0,20.0,3,4.0,25596.0,0,4.0,662169.0,3,2,4.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7002321,7390,37.0,7.0,4,4.0,22890.30999066293,0,4.0,820330.0,3,3,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
